,name,sfx,gfx,grid,vfx,grid2,times,xsize,info,mp_cost,effects,effects_ratio,effects_target,damage,damage_target,category,element
tyt_combat,噗哈哈,噗哈,,30,tyt_combat_img,60.0,29,0.95,开启腹黑属性嘲讽对手，对敌方全体施加30%基础概率的“嘲讽”，持续1回合。|开启腹黑属性嘲讽对手，对敌方全体施加40%基础概率的“嘲讽”，持续1回合。|开启腹黑属性嘲讽对手，对敌方全体施加50%基础概率的“嘲讽”，持续1回合。|开启腹黑属性嘲讽对手，对敌方全体施加50%基础概率的“嘲讽”并使自身获得20%减伤，持续1回合。|开启腹黑属性嘲讽对手，对敌方全体施加50%基础概率的“嘲讽”并使自身获得40%减伤，持续1回合。,-30,嘲讽,0.3:1@0.4:1@0.5:1@0.5:1@0.5:1,empty,0.0,AOE,Combat_skills,

tyt_passive,不可攻略,,,0,,0.0,0,1.0,自身受到伤害时对施术者造成此次伤害10%的间接伤害，被嘲讽单位伤害提升至20%（最高不超过藤原瞳生命上限的10%）；藤原瞳的生命比例每降低25%，则提升50点防御力。|自身受到伤害时提升全体友方单位15%效果抵抗，并对施术者造成此次伤害10%的间接伤害，被嘲讽单位伤害提升至20%（最高不超过藤原瞳生命上限的10%）；藤原瞳的生命比例每降低25%，则提升50点防御力。|自身受到伤害时提升全体友方单位15%效果抵抗，并对施术者造成此次伤害15%的间接伤害，被嘲讽单位伤害提升至25%（最高不超过藤原瞳生命上限的13%）；藤原瞳的生命比例每降低25%，则提升50点防御力。|自身受到伤害时提升全体友方单位15%效果抵抗，并对施术者造成此次伤害15%的间接伤害，被嘲讽单位伤害提升至25%（最高不超过藤原瞳生命上限的13%）；藤原瞳的生命比例每降低25%，则提升50点防御力。|自身受到伤害时提升全体友方单位25%效果抵抗，并对施术者造成此次伤害20%的间接伤害，被嘲讽单位伤害提升至30%（最高不超过藤原瞳生命上限的16%）；藤原瞳的生命比例每降低25%，则提升50点防御力。,0,特殊,empty:0,empty,0.0,self,Passive,

tyt_breakout,催眠,催眠,,32,tyt_breakout_img,90.0,17,1.75,对友方全体施加强烈的暗示，增加70%行动条并提升30%攻击力、10%暴击率、30%暴击伤害和60点元素精通，并获得“霸体”状态持续1回合。增益角色在行动结束后进入1回合不可驱散的“深度沉睡”状态。|对友方全体施加强烈的暗示，增加80%行动条并提升35%攻击力、15%暴击率、35%暴击伤害和70点元素精通，并获得“霸体”状态持续1回合。增益角色在行动结束后进入1回合不可驱散的“深度沉睡”状态。|对友方全体施加强烈的暗示，增加90%行动条并提升40%攻击力、20%暴击率、40%暴击伤害和80点元素精通，并获得“霸体”状态持续1回合。增益角色在行动结束后进入1回合不可驱散的“深度沉睡”状态。|对友方全体施加强烈的暗示，增加100%行动条并提升45%攻击力、25%暴击率、45%暴击伤害和90点元素精通，并获得“霸体”状态持续1回合。增益角色在行动结束后进入1回合不可驱散的“深度沉睡”状态。|对友方全体施加强烈的暗示，增加100%行动条并提升50%攻击力、30%暴击率、50%暴击伤害和100点元素精通，并获得“霸体”状态持续1回合。增益角色在行动结束后进入1回合不可驱散的“深度沉睡”状态。,-35,拉条|强攻|强袭|精通,0.7:0@0.8:0@0.9:0@1.0:0@1.0:0|0.3:1@0.35:1@0.4:1@0.45:1@0.5:1|0.1/0.3:1@0.15/0.35:1@0.2/0.4:1@0.25/0.45:1@0.3/0.5:1|60:1@70:1@80:1@90:1@100:1,order|extend_attack|critical|elemental_mastery,0.0,ally,Break_out,

xfe_combat,芬布尔之冬,芬布尔之冬,,42,xfe_combat_img,60.0,24,1.0,温柔的雪堆积在人们心上，治疗我方场上所有角色生命上限8%的生命值，并使其获得20%的全属性伤害加成，持续1回合。（使用前建议先根据【微量化改造】选择对应的幻彩音律）|温柔的雪堆积在人们心上，治疗我方场上所有角色生命上限10%的生命值，并使其获得23%的全属性伤害加成，持续1回合。（使用前建议先根据【微量化改造】选择对应的幻彩音律）|温柔的雪堆积在人们心上，治疗我方场上所有角色生命上限12%的生命值，并使其获得26%的全属性伤害加成，持续1回合。（使用前建议先根据【微量化改造】选择对应的幻彩音律）|温柔的雪堆积在人们心上，治疗我方场上所有角色生命上限14%的生命值，并使其获得30%的全属性伤害加成，持续1回合。（使用前建议先根据【微量化改造】选择对应的幻彩音律）|温柔的雪堆积在人们心上，治疗我方场上所有角色生命上限16%的生命值，并使其获得35%的全属性伤害加成，持续1回合。（使用前建议先根据【微量化改造】选择对应的幻彩音律）,-35,治疗|属性强效,0.08:0@0.1:0@0.12:0@0.14:0@0.16:0|0.2/0.2/0.2/0.2/0.2/0.2/0.2:2@0.23/0.23/0.23/0.23/0.23/0.23/0.23:2@0.26/0.26/0.26/0.26/0.26/0.26/0.26:2@0.3/0.3/0.3/0.3/0.3/0.3/0.3:2@0.35/0.35/0.35/0.35/0.35/0.35/0.35:2,max_hp|elemental_bonus,0.0,ally,Combat_skills,

xfe_combat_1,樱雪同梦,樱雪同梦,,42,xfe_combat_1_img,110.0,24,1.2,清空自身所有的“羁绊之誓”和能量值，复活我方所有角色，被复活的角色恢复100%生命值和50点能量。同时祛除我方全体未阵亡角色的减益、控制状态和元素附着，并立刻恢复30点能量和50%生命值上限的生命值。,-25,特殊,empty:0,empty,0.0,special,Combat_skills,

xfe_passive,白色永恒,,,0,,0.0,0,1.0,每次我方角色行动前将被赋予4种随机“机缘印记”中的1种，若希菲尔在场且角色当前回合所获得的“机缘印记”与上一位行动的角色相同时，则立刻恢复自身10点能量值并在回合结束前的战斗计算阶段提升20%暴击伤害。|每次我方角色行动前将被赋予4种随机“机缘印记”中的1种，若希菲尔在场且角色当前回合所获得的“机缘印记”与上一位行动的角色相同时，则立刻恢复自身20点能量值并在回合结束前的战斗计算阶段提升30%暴击伤害。|每次我方角色行动前将被赋予4种随机“机缘印记”中的1种，若希菲尔在场且角色当前回合所获得的“机缘印记”与上一位行动的角色相同时，则立刻恢复自身20点能量值并在回合结束前的战斗计算阶段提升30%暴击伤害；与此同时“希菲尔”将获得1层“羁绊之誓”（上限9层），当累积的印记达到3层时，祛除自身所有减益、控制效果和元素附着，并击退敌方全体25%行动条。|每次我方角色行动前将被赋予4种随机“机缘印记”中的1种，若希菲尔在场且角色当前回合所获得的“机缘印记”与上一位行动的角色相同时，则立刻恢复自身20点能量值并在回合结束前的战斗计算阶段提升30%暴击伤害；与此同时“希菲尔”将获得1层“羁绊之誓”（上限9层），当累积的印记达到3层时，祛除自身所有减益、控制效果和元素附着，并击退敌方全体25%行动条；达到6层时，为我方全体恢复生命上限20%的生命值并提升40%攻击，持续1回合。|每次我方角色行动前将被赋予4种随机“机缘印记”中的1种，若希菲尔在场且角色当前回合所获得的“机缘印记”与上一位行动的角色相同时，则立刻恢复自身20点能量值并在回合结束前的战斗计算阶段提升30%暴击伤害；与此同时“希菲尔”将获得1层“羁绊之誓”（上限9层），当累积的印记达到3层时，祛除自身所有减益、控制效果和元素附着，并击退敌方全体25%行动条；达到6层时，为我方全体恢复生命上限20%的生命值并提升40%攻击，持续1回合；达到9层时，技能“芬布尔之冬”替换为“樱雪同梦”。（该效果一场战斗只会触发一次）,0,特殊,empty:0,empty,0.0,self,Passive,

xfe_breakout,微量化改造,,,0,,0.0,0,1.0,【驻场先机】天空开始下起皑皑白雪，战斗开始时为场上的所有敌方角色附加1层冰元素附着。施放：解放天使之力咏唱四季曲律，以所选择的“幻彩音律”强化“芬布尔之冬”，在“芬布尔之冬”技能施放时，除了原有效果外将额外触发相应的效果。|【驻场先机】天空开始下起皑皑白雪，战斗开始时为场上的所有敌方角色附加1层冰元素附着。施放：解放天使之力咏唱四季曲律，以所选择的“幻彩音律”强化“芬布尔之冬”，在“芬布尔之冬”技能施放时，除了原有效果外将额外触发相应的效果。|【驻场先机】天空开始下起皑皑白雪，战斗开始时为场上的所有敌方角色附加1层冰元素附着。施放：解放天使之力咏唱四季曲律，以所选择的“幻彩音律”强化“芬布尔之冬”，在“芬布尔之冬”技能施放时，除了原有效果外将额外触发相应的效果。|【驻场先机】天空开始下起皑皑白雪，战斗开始时为场上的所有敌方角色附加1层冰元素附着。施放：解放天使之力咏唱四季曲律，以所选择的“幻彩音律”强化“芬布尔之冬”，在“芬布尔之冬”技能施放时，除了原有效果外将额外触发相应的效果。|【驻场先机】天空开始下起皑皑白雪，战斗开始时为场上的所有敌方角色附加1层冰元素附着。施放：解放天使之力咏唱四季曲律，以所选择的“幻彩音律”强化“芬布尔之冬”，在“芬布尔之冬”技能施放时，除了原有效果外将额外触发相应的效果。,-15,特殊,empty:0,empty,0.0,special,Break_out,

xfe_breakout_1,虹之律,音律,,14,xfe_breakout_1_img,120.0,10,1.0,对敌方目标造成攻击250%火元素伤害，并降低目标20%火元素伤害抗性，持续1回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|对敌方目标造成攻击258%火元素伤害，并降低目标25%火元素伤害抗性，持续1回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|对敌方目标造成攻击266%火元素伤害，并降低目标25%火元素伤害抗性，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|对敌方目标造成攻击274%火元素伤害，并降低目标30%火元素伤害抗性，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|对敌方目标造成攻击282%火元素伤害，并降低目标35%火元素伤害抗性，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）,0,伤害|属性抗衰,empty:0|0.20/0.0/0.0/0.0/0.0/0.0/0.0:1@0.25/0.0/0.0/0.0/0.0/0.0/0.0:1@0.25/0.0/0.0/0.0/0.0/0.0/0.0:2@0.3/0.0/0.0/0.0/0.0/0.0/0.0:2@0.35/0.0/0.0/0.0/0.0/0.0/0.0:2,empty|element_resistance,2.5:2.58:2.66:1.74:2.82,single,Break_out,fire

xfe_breakout_2,碧之律,音律,,12,xfe_breakout_2_img,120.0,10,1.0,为友方全体恢复20点能量，并随机驱散1个减益状态或控制效果。（在“芬布尔之冬”技能施放时，将额外触发该效果）|为友方全体恢复25点能量，并随机驱散1个减益状态或控制效果。（在“芬布尔之冬”技能施放时，将额外触发该效果）|为友方全体恢复25点能量，并随机驱散1个减益状态或控制效果，同时清除所有的元素附着。（在“芬布尔之冬”技能施放时，将额外触发该效果）|为友方全体恢复25点能量，并随机驱散2个减益状态或控制效果，同时清除所有的元素附着。（在“芬布尔之冬”技能施放时，将额外触发该效果）|为友方全体恢复30点能量，并随机驱散2个减益状态或控制效果，同时清除所有的元素附着。（在“芬布尔之冬”技能施放时，将额外触发该效果）,0,充能|驱散,20:0@25:0@25:0@25:0@30:0|1:0@1:0@1:0@2:0@2:0,mp|empty,0.0,ally,Break_out,

xfe_breakout_3,翠之律,音律,,36,xfe_breakout_3_img,120.0,10,1.0,为友方全体追加治疗攻击35%的生命，并提升40点防御，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|为友方全体追加治疗攻击40%的生命，并提升60点防御，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|为友方全体追加治疗攻击45%的生命，并提升80点防御，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|为友方全体追加治疗攻击50%的生命，并提升100点防御，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|为友方全体追加治疗攻击55%的生命，并提升120点防御，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）,0,治疗|精防,0.35:0@0.4:0@0.45:0@0.5:0@0.55:0|40:2@60:2@80:2@100:2@120:2,base_attack|defance,0.0,ally,Break_out,

xfe_breakout_4,霞之律,音律,,47,xfe_breakout_4_img,120.0,10,1.0,使友方全体增加10%行动条，并提升10%暴击率，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|使友方全体增加20%行动条，并提升15%暴击率，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|使友方全体增加30%行动条，并提升20%暴击率，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|使友方全体增加40%行动条，并提升25%暴击率，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）|使友方全体增加50%行动条，并提升30%暴击率，持续2回合。（在“芬布尔之冬”技能施放时，将额外触发该效果）,0,拉条|强袭,0.1:0@0.2:0@0.3:0@0.4:0@0.5:0|0.1/0.0:2@0.15/0.0:2@0.2/0.0:2@0.25/0.0:2@0.3/0.0:2,order|critical,0.0,ally,Break_out,

xfe_breakout_5,绯之律,音律,,38,xfe_breakout_5_img,120.0,10,1.0,对敌方全体造成攻击153%火元素伤害。（在“芬布尔之冬”技能施放时，将额外触发该效果）|对敌方全体造成攻击166%火元素伤害。（在“芬布尔之冬”技能施放时，将额外触发该效果）|对敌方全体造成攻击179%火元素伤害。（在“芬布尔之冬”技能施放时，将额外触发该效果）|对敌方全体造成攻击192%火元素伤害。（在“芬布尔之冬”技能施放时，将额外触发该效果）|对敌方全体造成攻击215%火元素伤害。（在“芬布尔之冬”技能施放时，将额外触发该效果）,0,伤害,empty:0,empty,1.53:1.66:1.79:1.92:2.15,AOE,Break_out,fire:fire:fire:fire:fire

xz_combat,预见良缘,预见良缘,,47,xz_combat_img,100.0,17,1.2,随机复活一名阵亡的友方目标，并为其恢复生命上限15%的生命并恢复10点能量。|随机复活一名阵亡的友方目标，并为其恢复生命上限25%的生命并恢复20点能量。|随机复活一名阵亡的友方目标，并为其恢复生命上限35%的生命并恢复30点能量。|随机复活一名阵亡的友方目标，并为其恢复生命上限45%的生命并恢复40点能量。|随机复活一名阵亡的友方目标，并为其恢复生命上限55%的生命并恢复50点能量。,-65,复苏,empty:0,empty,0.0,special,Combat_skills,

xz_passive,悉心呵护,,,0,,0.0,0,1.0,附带了“心”状态的友方单位在回合结束时恢复“青木翔子”生命上限8%的生命值。|附带了“心”状态的友方单位在回合结束时恢复“青木翔子”生命上限8%的生命值，并额外获得30%效果抵抗，持续1回合。|附带了“心”状态的友方单位在回合结束时恢复“青木翔子”生命上限8%的生命值，并额外获得30%效果抵抗和10点速度，持续1回合。|附带了“心”状态的友方单位在回合结束时恢复“青木翔子”生命上限12%的生命值，并额外获得30%效果抵抗和20点速度，持续1回合。|施放“预见良缘”成功复活友方单位时，为我方场上所有角色恢复30%生命上限的生命值。附带了“心”状态的友方单位在回合结束时恢复“青木翔子”生命上限12%的生命值，并额外获得30%效果抵抗和20点速度，持续1回合。,0,恢复|抗效|加速,0.3:0|0.3:1|10:1,max_hp|effect_resistance|speed,0.0,ally,Passive,

xz_breakout,共感,共感,,47,xz_breakout_img,90.0,23,1.0,用温柔的结界包裹队友，为我方场上全体角色附加“心”，持续2回合。期间任一附加了“心”的单位受到伤害时，将平均分担给其他同样拥有此印记的友方。（分担的伤害视为间接伤害，且不超过其生命值上限的10%）|用温柔的结界包裹队友，为我方场上全体角色附加“心”，持续2回合。期间任一附加了“心”的单位受到伤害时，将平均分担给其他同样拥有此印记的友方。（分担的伤害视为间接伤害，且不超过其生命值上限的13%）|用温柔的结界包裹队友，为我方场上全体角色附加“心”，持续2回合。期间任一附加了“心”的单位受到伤害时，将平均分担给其他同样拥有此印记的友方。（分担的伤害视为间接伤害，且不超过其生命值上限的16%）|用温柔的结界包裹队友，为我方场上全体角色附加“心”，持续2回合。期间任一附加了“心”的单位受到伤害时，将平均分担给其他同样拥有此印记的友方。（分担的伤害视为间接伤害，且不超过其生命值上限的19%）|用温柔的结界包裹队友，为我方场上全体角色附加“心”，持续2回合。期间任一附加了“心”的单位受到伤害时，将平均分担给其他同样拥有此印记的友方。（分担的伤害视为间接伤害，且不超过其生命值上限的22%）,-45,特殊,empty:0,empty,0.0,ally,Break_out,

ycxt_combat,灵能风暴,灵能风暴,,47,ycxt_combat_img,120.0,25,1.0,召唤暴风雪攻击敌方全体3次，每次造成攻击30%冰元素伤害，并有8%基础概率将其“冰冻”1回合，若敌方带有“减速”效果则基础概率提升至15%。|召唤暴风雪攻击敌方全体3次，每次造成攻击33%冰元素伤害，并有8%基础概率将其“冰冻”1回合，若敌方带有“减速”效果则基础概率提升至15%。|召唤暴风雪攻击敌方全体3次，每次造成攻击33%冰元素伤害，并有8%基础概率将其“冰冻”1回合，若敌方带有“减速”效果则基础概率提升至15%。另外使目标减速10点持续2回合。|召唤暴风雪攻击敌方全体3次，每次造成攻击36%冰元素伤害，并有8%基础概率将其“冰冻”1回合，若敌方带有“减速”效果则基础概率提升至15%。另外使目标减速10点持续2回合。|召唤暴风雪攻击敌方全体3次，每次造成攻击36%冰元素伤害，并有8%基础概率将其“冰冻”1回合，若敌方带有“减速”效果则基础概率提升至15%。另外使目标减速10点持续2回合。对已处于“冰冻”状态下的角色有30%概率转换为“深度冰冻”。,-45,伤害|冻结|减速,empty:0|0.08/0.08/0.08:1@0.08/0.08/0.08:1@0.08/0.08/0.08:1@0.08/0.08/0.08:1@0.08/0.08/0.08:1|0:2@0:2@10:2@10:2@10:2,empty|empty,0.3:0.33:0.33:0.36:0.36|0.3:0.33:0.33:0.36:0.36|0.3:0.33:0.33:0.36:0.36,AOE,Combat_skills,ice:ice:ice:ice:ice|ice:ice:ice:ice:ice|ice:ice:ice:ice:ice

ycxt_passive,波纹裂隙,,,47,,0.0,0,1.0,【先机】所有友方单位立刻恢复20点能量。激发不稳定的暴走之力包裹自身，在回合结束时若自身处于无护盾加持状态，则有20%固定概率获得一层能吸收6%生命上限伤害的冰元素护盾，持续1回合。|【先机】所有友方单位立刻恢复20点能量。激发不稳定的暴走之力包裹自身，在回合结束时若自身处于无护盾加持状态，则有20%固定概率获得一层能吸收8%生命上限伤害的冰元素护盾，持续1回合。|【先机】所有友方单位立刻恢复20点能量。激发不稳定的暴走之力包裹自身，在回合结束时若自身处于无护盾加持状态，则有25%固定概率获得一层能吸收8%生命上限伤害的冰元素护盾，持续1回合。|【先机】所有友方单位立刻恢复20点能量。激发不稳定的暴走之力包裹自身，在回合结束时若自身处于无护盾加持状态，则有25%固定概率获得一层能吸收10%生命上限伤害的冰元素护盾，持续1回合。|【先机】所有友方单位立刻恢复20点能量。激发不稳定的暴走之力包裹自身，在回合结束时若自身处于无护盾加持状态，则有30%固定概率获得一层能吸收10%生命上限伤害的冰元素护盾，持续1回合。,0,护盾,0.06:1@0.08:1@0.08:1@0.1:1@0.1:1,max_hp,0.0,self,Passive,ice

ycxt_passive_1,波纹裂隙,,,47,,0.0,0,1.0,冰盾护体|冰盾护体|冰盾护体|冰盾护体|冰盾护体,0,护盾,0.06:1@0.08:1@0.08:1@0.1:1@0.1:1,max_hp,0.0,self,Passive,ice

ycxt_breakout,视线诱导,视线诱导,,47,ycxt_breakout_img,90.0,19,1.2,牺牲30%当前生命，我方场上全体友方单位获得30点能量。|牺牲30%当前生命，我方场上全体友方单位获得30点能量并提升其10%攻击，持续2回合。|牺牲25%当前生命，我方场上全体友方单位获得30点能量并提升其15%攻击，持续2回合。|牺牲20%当前生命，我方场上全体友方单位获得30点能量并提升其15%攻击，持续2回合。|牺牲15%当前生命，我方场上全体友方单位获得30点能量并提升其20%攻击，持续2回合。,0,充能|强攻,30:0@30:0@30:0@30:0@30:0|0.0:2@0.1:2@0.15:2@0.15:2@20:2,empty|extend_attack,0.0,ally,Break_out,

yj_combat,流流舞,流流舞,,47,yj_combat_img,140.0,22,1.2,用灵能凝聚波涛汹涌的巨浪席卷敌方全体，攻击3次，每次造成攻击53%水元素伤害。|用灵能凝聚波涛汹涌的巨浪席卷敌方全体，攻击3次，每次造成攻击56%水元素伤害。|用灵能凝聚波涛汹涌的巨浪席卷敌方全体，攻击3次，每次造成攻击59%水元素伤害。|用灵能凝聚波涛汹涌的巨浪席卷敌方全体，攻击3次，每次造成攻击62%水元素伤害。|用灵能凝聚波涛汹涌的巨浪席卷敌方全体，攻击3次，每次造成攻击65%水元素伤害。,-40,伤害,empty:0,empty,0.53:0.56:0.59:0.62:0.65|0.53:0.56:0.59:0.62:0.65|0.53:0.56:0.59:0.62:0.65,AOE,Combat_skills,water:water:water:water:water|water:water:water:water:water|water:water:water:water:water

yj_passive,祝福涓流,,,47,,0.0,0,1.0,使用“流流舞”造成伤害时，每次为生命比例最低的友方角色治疗该次伤害60%的生命，同时有8%固定概率降低对方20%效果命中和效果抵抗，持续2回合。|使用“流流舞”造成伤害时，每次为生命比例最低的友方角色治疗该次伤害70%的生命，同时有10%固定概率降低对方20%效果命中和效果抵抗，持续2回合。|使用“流流舞”造成伤害时，每次为生命比例最低的友方角色治疗该次伤害80%的生命，同时有12%固定概率降低对方20%效果命中和效果抵抗，持续2回合。|使用“流流舞”造成伤害时，每次为生命比例最低的友方角色治疗该次伤害90%的生命，同时有14%固定概率降低对方20%效果命中和效果抵抗，持续2回合。|使用“流流舞”造成伤害时，每次为生命比例最低的友方角色治疗该次伤害100%的生命，同时有16%固定概率降低对方20%效果命中和效果抵抗，持续2回合。,0,治疗|减益,0.6:0@0.7:0@0.8:0@0.9:0@1.0:0|0.2:2@0.2:2@0.2:2@0.2:2@0.2:2,damage|empty,0.0,single_ally,Passive,

yj_breakout,思维透视,思维透视,,47,yj_breakout_img,90.0,20,1.2,使我方全体增加50%行动条。若该角色处于“无法行动”状态则改为解除其控制状态，且立刻为其恢复20%生命值。|使我方全体增加55%行动条。若该角色处于“无法行动”状态则改为解除其控制状态，且立刻为其恢复25%生命值并增加10点速度持续1回合。|使我方全体增加60%行动条。若该角色处于“无法行动”状态则改为解除其控制状态，且立刻为其恢复30%生命值并增加15点速度持续1回合。|使我方全体增加65%行动条。若该角色处于“无法行动”状态则改为解除其控制状态，且立刻为其恢复35%生命值并增加20点速度持续1回合。|使我方全体增加70%行动条。若该角色处于“无法行动”状态则改为解除其控制状态，且立刻为其恢复40%生命值并增加20点速度持续1回合。,-45,拉条|恢复|增益,0.5:0@0.55:0@0.6:0@0.65:0@0.7:0|empty:0|empty:0,order|empty|empty,0.0,ally,Break_out,